,Name,Calories,Carbs,Fats,Proteins,Fiber,Cholestrol,Sugar
189,Lentil Indian Soup,80,13.3,0.0,5.6,2.0,0,1
190,Indian Style Yogurt,150,15.0,5.0,11.0,0.0,100,11
191,Indian Corn Candy,140,35.0,0.0,0.0,0.0,0,0
192,Palak Spinach Chips,140,13.0,12.0,2.0,0.0,0,0
193,Indian Violet Yam,150,17.0,8.0,2.0,3.0,0,2
194,Tamarino Chutney,25,7.0,0.0,0.0,0.0,5.0,2
195,Moorukulu Indian Snacks,260,26.0,16.0,4.0,1.0,0,5
196,Indian Corn Candy,110,28.0,0.0,0.0,0.0,0,0.5
197,Indian Corn,140,35.0,0.0,0.0,0.0,0,6.0
198,Kashmir Potatoes,140,15.0,8.0,2.0,1.0,0,0
199,Indian Samosa Wrap,250,35.0,9.0,8.0,4.0,0,2
200,Orange Juice,110,27.0,0.0,2.0,0.0,0,0
201,Orange Juice,110,27.0,0.0,2.0,0.0,0,0
202,North Indian Samosas,300,45.0,10.0,6.0,4.0,0,0
203,Indian Style Yogurt,110,15.0,1.0,11.0,0.0,0,3.0
204,Apple Sauce,50,14.0,0.0,0.0,1.0,0,2
205,Masala Peas,140,4.0,14.0,1.0,1.0,0,200
206,Spinach Naan,150,24.0,4.0,4.0,2.0,0,0
207,"Authentic Papadums, Cumin",25,4.0,0.0,2.0,2.0,10,0
208,Classic Indian Patisa,80,9.0,5.0,0.5,0.0,25.0,0
209,Indian Mattar Paneer,370,54.0,11.0,13.0,6.0,0,0
210,Aloo Matar,150,19.0,7.0,4.0,2.0,0,2
211,Indian Basmati Rice,360,82.0,2.0,8.0,0.0,20.0,6.0
212,Fried Indian Snack,500,0.0,3.5,35.0,2.0,55.0,0
213,Authentic Butter Masala Concentrated Cooking Sauce,180,10.0,16.0,3.0,1.0,0,3
214,"Tamarind Curry, Indian Simmer Sauce",130,9.0,10.0,2.0,2.0,0,4.0
215,Premium Chunky Cherry Applesauce,100,25.0,0.0,0.0,2.0,0,20.0
216,Premium Chunky Blueberry Apple Sauce,90,23.0,0.0,1.0,2.0,0,21.0
217,"Amy's, Indian Palak Paneer",300,38.0,11.0,12.0,5.9,0,5.0
218,"Truly Indian, Korma",140,10.0,10.0,1.5,1.5,0,2.0
219,"Indian Curry Paste, Tandori Paste",60,5.0,4.0,1.0,1.0,0,1.5
220,Maiz Morado Indian Purple Corn,90,19.0,1.0,2.0,2.0,0,0
221,Madras Curry Sauce,50,3.0,4.0,1.0,1.0,0,1.0
222,Tamarind Chutney,50,13.0,0.0,0.0,1.0,0,12
223,Finest Indian Basmati Rice,175,39.0,0.3,4.0,1.0,0,0
224,"Indian Curry Paste, Tikka Paste",30,2.0,2.0,1.0,1.0,0,0
225,Vindaloo Indian Simmer Sauce,90,8.0,6.0,2.0,2.0,0,4.0
226,"Hearth, Bread, Indian Grain",90,18.0,1.0,4.0,3.0,0,3
227,Indian Fare Jaipur Vegetables,170,10.0,57.0,7.0,4.0,0,3.0
228,Green Beans From Local Indiana Farms,47,9.0,0.0,2.0,3.0,0,3.0
229,Indian Major Grey's Mango Chutney,80,21.0,0.0,0.0,0.0,0,18
230,Tikka Masala Medium Concentrated Sauce,130,12.0,9.0,3.0,2.0,0,4
231,Indian Inspired Butter Chicken,480,61.0,19.0,20.0,3.2,0,6.0
232,West Indian Orange Bitters,0,0.0,0.0,0.0,0.0,0,0
233,Indian Style Sweet Red Peppers,10,2.0,0.0,0.0,1.0,0,1.0
234,Sweet & Mild Mild Mango Chutney,15,2.0,0.0,0.0,0.0,0,2.0
235,"Maya Kaimal, Jalfrezi Curry Indian Simmer Sauce, Medium",70,8.0,4.5,1.0,1.0,0,4.0
236,"Popcorn, Indiana, Drizzlecorn, Popcorn, Dark Fudge Sea Salt Caramel",120,23.0,3.5,1.0,1.0,0,13.0
237,"Chutney, Indian Major Grey's, Mango",80,21.0,0.0,0.0,0.0,0,18
238,Indian Fare Jaipur Vegetables,170,10.0,11.0,7.0,4.0,5.0,3
239,"Indian Vegetable Koram Meals, frozen",310,41.0,12.0,9.0,7.0,0,7.0
240,Coconut Curry,200,24.0,9.0,7.0,4.0,0,0
241,Indian Vegetable Samosas Hors D'oeuvres,90,13.0,3.5,2.0,1.0,0,0
242,Indian Combo Vegetable Samosas Appetizer,200,31.0,7.0,4.0,3.0,0,0
243,Indiana Jones Fruit Flavored Snacks,80,19.0,0.0,1.0,0.0,0,0
244,Indian Corn Candy,140,36.0,0.0,0.0,0.0,0,0
245,Indian Meal For Two Hot Takeaway,1213,107.2,57.8,49.5,8.2,0,0
